strainID	chrom	start	end	name	prediction_tool
HAMBI_1842	HAMBI_1842_plas02_circ	1	74454	plasmid	genomad
HAMBI_1842	HAMBI_1842_plas03_circ	1	29882	plasmid	genomad
HAMBI_1842	HAMBI_1842_plas01_circ	1	236891	plasmid	genomad
HAMBI_1919	HAMBI_1919_plas01_circ	1	440276	plasmid	genomad
HAMBI_2159	HAMBI_2159_chrm02_circ	1	2294374	plasmid	genomad
HAMBI_2443	HAMBI_2443_plas01_circ	1	653815	plasmid	genomad
HAMBI_2494	HAMBI_2494_plas01_circ	1	34429	plasmid	genomad
HAMBI_2792	HAMBI_2792_plas02_circ	1	3924	plasmid	genomad
HAMBI_2792	HAMBI_2792_plas01_circ	1	4851	plasmid	genomad
HAMBI_3237	HAMBI_3237_chrm02_circ	1	1179416	plasmid	genomad
HAMBI_3237	HAMBI_3237_chrm03_circ	1	1131471	plasmid	genomad
