strainID	name	chrom	start	end	prediction_tool
HAMBI_0097	ISAba27	HAMBI_0097_chrm01_circ	1595260	1596142	MGE_finder
HAMBI_0097	ISAba27	HAMBI_0097_chrm01_circ	1498487	1499369	MGE_finder
HAMBI_0097	ISAba27	HAMBI_0097_chrm01_circ	1949388	1950270	MGE_finder
HAMBI_0097	ISAba27	HAMBI_0097_chrm01_circ	2248340	2249218	MGE_finder
HAMBI_0097	ISAba36	HAMBI_0097_chrm01_circ	1282658	1283369	MGE_finder
HAMBI_0097	ISAba36	HAMBI_0097_chrm01_circ	1601749	1602460	MGE_finder
HAMBI_0097	ISAba36	HAMBI_0097_chrm01_circ	1789895	1790606	MGE_finder
HAMBI_0097	ISAba36	HAMBI_0097_chrm01_circ	1137770	1138481	MGE_finder
HAMBI_0097	ISAba825	HAMBI_0097_chrm01_circ	1944514	1945487	MGE_finder
HAMBI_0097	ISAba825	HAMBI_0097_chrm01_circ	2394489	2395462	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	798513	799257	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	1372933	1373677	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	393697	394441	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	3047697	3048441	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	686231	686975	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	790738	791482	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	1052590	1053334	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	1053386	1054130	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	1526951	1527695	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	1869224	1869968	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	2120808	2121552	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	1054796	1055540	MGE_finder
HAMBI_0097	ISPssp2	HAMBI_0097_chrm01_circ	841974	842718	MGE_finder
HAMBI_0097	ISAba21	HAMBI_0097_plas01_circ	77005	78278	MGE_finder
HAMBI_0097	ISAba22	HAMBI_0097_plas01_circ	98187	99460	MGE_finder
HAMBI_0097	ISAcsp5	HAMBI_0097_plas01_circ	19330	20617	MGE_finder
HAMBI_0097	ISAcsp5	HAMBI_0097_plas01_circ	100984	102271	MGE_finder
HAMBI_0097	ISAba14	HAMBI_0097_plas01_circ	88237	89518	MGE_finder
HAMBI_0097	ISAba14	HAMBI_0097_plas01_circ	24032	25313	MGE_finder
HAMBI_0097	ISAba1	HAMBI_0097_plas01_circ	93382	94561	MGE_finder
HAMBI_0097	ISAba33	HAMBI_0097_plas01_circ	106772	107930	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_plas01_circ	40658	41705	MGE_finder
HAMBI_0097	IS17	HAMBI_0097_plas01_circ	35085	36123	MGE_finder
HAMBI_0097	ISAba13	HAMBI_0097_plas01_circ	123976	125021	MGE_finder
HAMBI_0097	IS1006	HAMBI_0097_plas01_circ	53243	54061	MGE_finder
HAMBI_0097	IS1006	HAMBI_0097_plas01_circ	59452	60270	MGE_finder
HAMBI_0097	IS1006	HAMBI_0097_plas01_circ	78375	79193	MGE_finder
HAMBI_0097	ISAba27	HAMBI_0097_plas01_circ	10195	11077	MGE_finder
HAMBI_0097	ISAcra1	HAMBI_0097_plas01_circ	45418	46149	MGE_finder
HAMBI_0097	IS18	HAMBI_0097_plas01_circ	90397	91467	MGE_finder
HAMBI_0097	cn_39173_ISAba1	HAMBI_0097_chrm01_circ	1703221	1742394	MGE_finder
HAMBI_0097	cn_39173_ISAba33	HAMBI_0097_chrm01_circ	1703221	1742394	MGE_finder
HAMBI_0097	cn_45268_ISAba125	HAMBI_0097_chrm01_circ	796662	841930	MGE_finder
HAMBI_0097	cn_1883_ISAba125	HAMBI_0097_chrm01_circ	840936	842819	MGE_finder
HAMBI_0097	cn_36793_ISAba125	HAMBI_0097_chrm01_circ	1664275	1701068	MGE_finder
HAMBI_0097	cn_2962_ISAba11	HAMBI_0097_chrm01_circ	622762	625724	MGE_finder
HAMBI_0097	cn_1425_ISAba11	HAMBI_0097_chrm01_circ	624733	626158	MGE_finder
HAMBI_0097	cn_20476_ISAba11	HAMBI_0097_chrm01_circ	626039	646515	MGE_finder
HAMBI_0097	cn_16521_ISAba11	HAMBI_0097_chrm01_circ	645414	661935	MGE_finder
HAMBI_0097	cn_4287_ISAba11	HAMBI_0097_chrm01_circ	660838	665125	MGE_finder
HAMBI_0097	cn_39401_ISAba34	HAMBI_0097_chrm01_circ	2514436	2553837	MGE_finder
HAMBI_0097	cn_39224_IS18	HAMBI_0097_chrm01_circ	2510751	2549975	MGE_finder
HAMBI_0097	cn_8939_IS18	HAMBI_0097_chrm01_circ	2548901	2557840	MGE_finder
HAMBI_0097	cn_13480_IS17	HAMBI_0097_chrm01_circ	1495670	1509150	MGE_finder
HAMBI_0097	cn_23165_IS17	HAMBI_0097_chrm01_circ	2522996	2546161	MGE_finder
HAMBI_0097	cn_20609_IS17	HAMBI_0097_chrm01_circ	2545121	2565730	MGE_finder
HAMBI_0097	cn_1711_IS17	HAMBI_0097_chrm01_circ	2565226	2566937	MGE_finder
HAMBI_0097	cn_5218_ISAba27	HAMBI_0097_chrm01_circ	1595259	1600477	MGE_finder
HAMBI_0097	cn_8520_ISPssp2	HAMBI_0097_chrm01_circ	790737	799257	MGE_finder
HAMBI_0097	cn_44206_ISPssp2	HAMBI_0097_chrm01_circ	798512	842718	MGE_finder
HAMBI_0097	cn_1541_ISPssp2	HAMBI_0097_chrm01_circ	1052589	1054130	MGE_finder
HAMBI_0097	cn_2155_ISPssp2	HAMBI_0097_chrm01_circ	1053385	1055540	MGE_finder
HAMBI_0097	cn_35054_ISAba21	HAMBI_0097_plas01_circ	43224	78278	MGE_finder
HAMBI_0097	cn_22456_ISAba21	HAMBI_0097_plas01_circ	77004	99460	MGE_finder
HAMBI_0097	cn_22456_ISAba22	HAMBI_0097_plas01_circ	77004	99460	MGE_finder
HAMBI_0097	cn_9131_ISAcsp5	HAMBI_0097_plas01_circ	100983	110114	MGE_finder
HAMBI_0097	cn_14549_ISAba1	HAMBI_0097_plas01_circ	93381	107930	MGE_finder
HAMBI_0097	cn_14549_ISAba33	HAMBI_0097_plas01_circ	93381	107930	MGE_finder
HAMBI_0097	cn_6621_IS17	HAMBI_0097_plas01_circ	35084	41705	MGE_finder
HAMBI_0097	cn_24601_ISAba13	HAMBI_0097_plas01_circ	100420	125021	MGE_finder
HAMBI_0097	cn_4366_IS1006	HAMBI_0097_plas01_circ	53242	57608	MGE_finder
HAMBI_0097	cn_1450_IS1006	HAMBI_0097_plas01_circ	58820	60270	MGE_finder
HAMBI_0097	cn_19742_IS1006	HAMBI_0097_plas01_circ	59451	79193	MGE_finder
HAMBI_0103	ISMch1	HAMBI_0103_chrm01_circ	821566	822860	MGE_finder
HAMBI_0103	Tn6271	HAMBI_0103_plas02_circ	209520	213163	MGE_finder
HAMBI_0103	Tn6137	HAMBI_0103_plas02_circ	184318	188014	MGE_finder
HAMBI_0103	ISPye59	HAMBI_0103_plas02_circ	242687	243845	MGE_finder
HAMBI_0103	ISPye59	HAMBI_0103_plas02_circ	45176	46334	MGE_finder
HAMBI_0105	ISRel21	HAMBI_0105_chrm02_linr	2050460	2051625	MGE_finder
HAMBI_0105	IS426	HAMBI_0105_plas01_circ	279746	281051	MGE_finder
HAMBI_0105	ISRel21	HAMBI_0105_plas01_circ	95293	96458	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	450827	452095	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	2505744	2507012	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	3312005	3313273	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	1707413	1708681	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	1532965	1534233	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	1841177	1842445	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	2282427	2283695	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	10721	11989	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	3103598	3104866	MGE_finder
HAMBI_0262	IS511	HAMBI_0262_chrm01_circ	431533	432744	MGE_finder
HAMBI_0262	ISRle5	HAMBI_0262_chrm01_circ	834611	835795	MGE_finder
HAMBI_0262	ISRle5	HAMBI_0262_chrm01_circ	430306	431490	MGE_finder
HAMBI_0262	ISRtr2	HAMBI_0262_chrm01_circ	8206	9526	MGE_finder
HAMBI_0262	ISRtr2	HAMBI_0262_chrm01_circ	131657	132977	MGE_finder
HAMBI_0262	ISRhsp4	HAMBI_0262_chrm01_circ	2682919	2683741	MGE_finder
HAMBI_0262	ISRhsp4	HAMBI_0262_chrm01_circ	1149654	1150476	MGE_finder
HAMBI_0262	ISRhsp4	HAMBI_0262_chrm01_circ	2230658	2231480	MGE_finder
HAMBI_0262	ISPak1	HAMBI_0262_chrm01_circ	1842936	1843754	MGE_finder
HAMBI_0262	cn_20563_IS511	HAMBI_0262_chrm01_circ	431532	452095	MGE_finder
HAMBI_0403	Tn6196	HAMBI_0403_chrm01_circ	2882002	2885633	MGE_finder
HAMBI_0403	IS1001	HAMBI_0403_chrm01_circ	2623343	2624554	MGE_finder
HAMBI_0403	IS1001	HAMBI_0403_chrm01_circ	2614200	2615423	MGE_finder
HAMBI_0403	IS1001	HAMBI_0403_chrm01_circ	3851617	3852840	MGE_finder
HAMBI_0403	IS1001	HAMBI_0403_chrm01_circ	5181060	5182283	MGE_finder
HAMBI_0403	IS1001	HAMBI_0403_chrm01_circ	1689391	1690614	MGE_finder
HAMBI_0403	ISPa56	HAMBI_0403_chrm01_circ	2526838	2528117	MGE_finder
HAMBI_0403	ISRel12	HAMBI_0403_chrm01_circ	669461	670501	MGE_finder
HAMBI_0403	cn_10355_IS1001	HAMBI_0403_chrm01_circ	2614199	2624554	MGE_finder
HAMBI_1279	ISEhe3	HAMBI_1279_chrm01_circ	624184	625392	MGE_finder
HAMBI_1279	ISSen3	HAMBI_1279_chrm01_circ	3210090	3212044	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_chrm01_circ	4041486	4042253	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_chrm01_circ	4543644	4544411	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	666598	666720	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	3924743	3924865	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	2527	2649	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	2798779	2798901	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	3023873	3023995	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	2006556	2006679	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	1605383	1605505	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	3864524	3864646	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	4131499	4131620	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	1472219	1472336	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	2171523	2171639	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	4243783	4243895	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	3722721	3722837	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	1582293	1582409	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	11237	11353	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	677391	677507	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	2856074	2856188	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	1334615	1334729	MGE_finder
HAMBI_1279	MITEYpe1	HAMBI_1279_chrm01_circ	2855951	2856064	MGE_finder
HAMBI_1279	MITEEc1	HAMBI_1279_chrm01_circ	494991	495107	MGE_finder
HAMBI_1279	MITEEc1	HAMBI_1279_chrm01_circ	1357106	1357220	MGE_finder
HAMBI_1279	ISSba14	HAMBI_1279_plas01_circ	147106	150727	MGE_finder
HAMBI_1279	ISEcl1	HAMBI_1279_plas01_circ	53847	55182	MGE_finder
HAMBI_1279	ISSen7	HAMBI_1279_plas01_circ	102449	103664	MGE_finder
HAMBI_1279	ISRor2	HAMBI_1279_plas01_circ	42903	43861	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	55806	56573	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	76719	77486	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	28076	28843	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	89589	90356	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	7409	8176	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	30345	31112	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	13169	13936	MGE_finder
HAMBI_1279	ISKpn14	HAMBI_1279_plas01_circ	95632	96399	MGE_finder
HAMBI_1279	cn_40046_ISRor2	HAMBI_1279_plas01_circ	3815	43861	MGE_finder
HAMBI_1279	cn_6528_ISKpn14	HAMBI_1279_plas01_circ	7408	13936	MGE_finder
HAMBI_1279	cn_15675_ISKpn14	HAMBI_1279_plas01_circ	13168	28843	MGE_finder
HAMBI_1279	cn_3037_ISKpn14	HAMBI_1279_plas01_circ	28075	31112	MGE_finder
HAMBI_1279	cn_26229_ISKpn14	HAMBI_1279_plas01_circ	30344	56573	MGE_finder
HAMBI_1279	cn_21681_ISKpn14	HAMBI_1279_plas01_circ	55805	77486	MGE_finder
HAMBI_1279	cn_13638_ISKpn14	HAMBI_1279_plas01_circ	76718	90356	MGE_finder
HAMBI_1279	cn_6811_ISKpn14	HAMBI_1279_plas01_circ	89588	96399	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_chrm01_circ	4115233	4116561	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_chrm01_circ	1109049	1110377	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_chrm01_circ	1798697	1800025	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_chrm01_circ	1853027	1854355	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_chrm01_circ	2392215	2393543	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_chrm01_circ	930181	931509	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_chrm01_circ	267526	268854	MGE_finder
HAMBI_1287	MITEYpe1	HAMBI_1287_chrm01_circ	4249076	4249198	MGE_finder
HAMBI_1287	MITEYpe1	HAMBI_1287_chrm01_circ	2056816	2056938	MGE_finder
HAMBI_1287	MITEYpe1	HAMBI_1287_chrm01_circ	3693721	3693841	MGE_finder
HAMBI_1287	MITEYpe1	HAMBI_1287_chrm01_circ	4464447	4464566	MGE_finder
HAMBI_1287	MITEPlu5	HAMBI_1287_chrm01_circ	964243	964353	MGE_finder
HAMBI_1287	MITEPlu5	HAMBI_1287_chrm01_circ	4158573	4158683	MGE_finder
HAMBI_1287	Tn6082	HAMBI_1287_plas01_circ	3732	7365	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_plas01_circ	14632	15960	MGE_finder
HAMBI_1287	ISVsa5	HAMBI_1287_plas01_circ	8018	9346	MGE_finder
HAMBI_1287	cn_7943_ISVsa5	HAMBI_1287_plas01_circ	8017	15960	MGE_finder
HAMBI_1299	Tn6196	HAMBI_1299_chrm01_circ	1189894	1193540	MGE_finder
HAMBI_1299	ISKpn24	HAMBI_1299_chrm01_circ	1198941	1201394	MGE_finder
HAMBI_1299	ISEsa2	HAMBI_1299_chrm01_circ	1243854	1245346	MGE_finder
HAMBI_1299	ISEsa2	HAMBI_1299_chrm01_circ	3119161	3120653	MGE_finder
HAMBI_1299	ISCfr26	HAMBI_1299_chrm01_circ	4184225	4185589	MGE_finder
HAMBI_1299	ISEhe3	HAMBI_1299_chrm01_circ	259919	261147	MGE_finder
HAMBI_1299	ISEhe3	HAMBI_1299_chrm01_circ	2285677	2286905	MGE_finder
HAMBI_1299	ISEhe3	HAMBI_1299_chrm01_circ	4442684	4443912	MGE_finder
HAMBI_1299	IS5075	HAMBI_1299_chrm01_circ	283444	284770	MGE_finder
HAMBI_1299	IS5075	HAMBI_1299_chrm01_circ	1255465	1256791	MGE_finder
HAMBI_1299	IS5075	HAMBI_1299_chrm01_circ	1188567	1189893	MGE_finder
HAMBI_1299	IS5075	HAMBI_1299_chrm01_circ	273449	274775	MGE_finder
HAMBI_1299	IS4	HAMBI_1299_chrm01_circ	4163180	4164517	MGE_finder
HAMBI_1299	IS26	HAMBI_1299_chrm01_circ	1182564	1183383	MGE_finder
HAMBI_1299	IS26	HAMBI_1299_chrm01_circ	1262563	1263382	MGE_finder
HAMBI_1299	IS26	HAMBI_1299_chrm01_circ	257734	258553	MGE_finder
HAMBI_1299	IS26	HAMBI_1299_chrm01_circ	262649	263468	MGE_finder
HAMBI_1299	ISKpn14	HAMBI_1299_chrm01_circ	1242094	1242861	MGE_finder
HAMBI_1299	ISKpn14	HAMBI_1299_chrm01_circ	1484763	1485530	MGE_finder
